"point_id","time","lon","lat","ele","X","Y"
131,"2023/09/26 11:11:04+00",7.28136640973389,51.4359924662858,73.4,810558,6698781.14
132,"2023/09/26 11:11:12+00",7.28151803836226,51.4360654726624,73.4,810574.88,6698794.17
133,"2023/09/26 11:11:19+00",7.28163463063538,51.4361189492047,73.2,810587.86,6698803.72
134,"2023/09/26 11:11:27+00",7.28179782629013,51.4361996669322,73.2,810606.03,6698818.14
135,"2023/09/26 11:11:32+00",7.28187770582736,51.436259848997,73.2,810614.92,6698828.88
136,"2023/09/26 11:11:34+00",7.28190519846976,51.4362858328968,73.2,810617.98,6698833.52
137,"2023/09/26 11:11:40+00",7.28199496865273,51.4363667182624,73.2,810627.97,6698847.97
138,"2023/09/26 11:11:45+00",7.28206118568778,51.4364346954972,73.2,810635.34,6698860.11
139,"2023/09/26 11:11:52+00",7.28214961476624,51.4365216996521,73.2,810645.19,6698875.64
140,"2023/09/26 11:11:57+00",7.28220443241298,51.4365889225155,73,810651.29,6698887.65
141,"2023/09/26 11:12:02+00",7.2822533827275,51.4366553071886,73.2,810656.74,6698899.5
142,"2023/09/26 11:12:12+00",7.28234231472015,51.4367853105068,73,810666.64,6698922.72
143,"2023/09/26 11:12:17+00",7.28236980736256,51.4368573110551,73,810669.7,6698935.58
144,"2023/09/26 11:12:22+00",7.28241758421063,51.4369288925081,73.2,810675.02,6698948.36
145,"2023/09/26 11:12:28+00",7.28244725614786,51.4370233565569,73.2,810678.32,6698965.23
146,"2023/09/26 11:12:35+00",7.28251405991614,51.437126789242,73.2,810685.76,6698983.7
147,"2023/09/26 11:12:44+00",7.28261640295386,51.4372608996928,73.4,810697.15,6699007.65
148,"2023/09/26 11:12:51+00",7.28267826139927,51.4373660925776,73.4,810704.04,6699026.43
149,"2023/09/26 11:12:58+00",7.28268790058792,51.4374592155218,73.6,810705.11,6699043.06
150,"2023/09/26 11:13:04+00",7.28262159973383,51.4375359099358,73.8,810697.73,6699056.76
151,"2023/09/26 11:13:10+00",7.28253652341664,51.4376187231392,74,810688.26,6699071.55
152,"2023/09/26 11:13:13+00",7.28250291198492,51.4376567769796,74.2,810684.52,6699078.34
153,"2023/09/26 11:13:15+00",7.28247935883701,51.437681671232,74.2,810681.89,6699082.79
154,"2023/09/26 11:13:20+00",7.28242051787674,51.4377432782203,74.4,810675.34,6699093.79
155,"2023/09/26 11:13:26+00",7.28234868496656,51.4378289412707,74.4,810667.35,6699109.09
156,"2023/09/26 11:13:32+00",7.28228070773184,51.4379027020186,74.2,810659.78,6699122.26
157,"2023/09/26 11:13:40+00",7.28213570080698,51.4379810728133,74.4,810643.64,6699136.25
158,"2023/09/26 11:13:50+00",7.28189840912819,51.4380254969001,74.4,810617.22,6699144.19
159,"2023/09/26 11:13:54+00",7.2818011790514,51.4380353037268,74.6,810606.4,6699145.94
160,"2023/09/26 11:13:57+00",7.28173144161701,51.4380353037268,74.6,810598.64,6699145.94
161,"2023/09/26 11:14:04+00",7.28156162425876,51.4380407519639,74.4,810579.73,6699146.91
162,"2023/09/26 11:14:13+00",7.28133615106344,51.4380493853241,74.6,810554.63,6699148.45
163,"2023/09/26 11:14:17+00",7.2812348138541,51.4380493015051,74.6,810543.35,6699148.44
164,"2023/09/26 11:14:22+00",7.28111101314425,51.4380447752774,74.6,810529.57,6699147.63
165,"2023/09/26 11:14:29+00",7.2809343226254,51.4380421768874,74.6,810509.9,6699147.17
166,"2023/09/26 11:14:39+00",7.28069510310888,51.4380063023418,74.6,810483.27,6699140.76
167,"2023/09/26 11:14:42+00",7.2806219290942,51.4379885327071,74.6,810475.13,6699137.59
168,"2023/09/26 11:14:45+00",7.28056778199971,51.4379626326263,74.8,810469.1,6699132.96
169,"2023/09/26 11:14:53+00",7.28038212284446,51.437911670655,74.6,810448.43,6699123.86
170,"2023/09/26 11:15:00+00",7.28023719973862,51.4378591999412,74.6,810432.3,6699114.49
171,"2023/09/26 11:15:09+00",7.28005765937269,51.4377792365849,74.6,810412.31,6699100.21
172,"2023/09/26 11:15:14+00",7.27998238988221,51.4377335552126,74.6,810403.93,6699092.05
173,"2023/09/26 11:15:17+00",7.27992430329323,51.4377027098089,74.6,810397.47,6699086.54
